  345.935625 1.1430D-300.0669 3792.5542                 2 1 1 03                 2 0 0 01                         P 50E0.72626  2P19 21 3.769E-05 0.0734-0.000718-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  347.472961 1.6190D-300.0671 3715.3074                 2 1 1 03                 2 0 0 01                         P 48E0.72626  2P19 21 3.850E-05 0.0747-0.000726-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  349.006721 2.2530D-300.0673 3641.1746                 2 1 1 03                 2 0 0 01                         P 46E0.73626  2P19 21 3.930E-05 0.0760-0.000725-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  350.537506 3.0810D-300.0675 3570.1567                 2 1 1 03                 2 0 0 01                         P 44E0.74626  2P19 21 4.008E-05 0.0776-0.000728-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  352.065887 4.1370D-300.0677 3502.2549                 2 1 1 03                 2 0 0 01                         P 42E0.74626  2P19 21 4.084E-05 0.0792-0.000718-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  353.592408 5.4560D-300.0678 3437.4695                 2 1 1 03                 2 0 0 01                         P 40E0.74626  2P19 21 4.159E-05 0.0810-0.000719-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  355.117584 7.0640D-300.0680 3375.8013                 2 1 1 03                 2 0 0 01                         P 38E0.74626  2P19 21 4.233E-05 0.0828-0.000718-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  356.641902 8.9770D-300.0682 3317.2512                 2 1 1 03                 2 0 0 01                         P 36E0.74626  2P19 21 4.305E-05 0.0847-0.000727-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  357.170047 1.0010D-300.0690 3783.3396                 2 2 2 03                 1 3 3 01                         P 29E0.72626  2P19 21 5.774E-05 0.0917-0.000714-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  357.925192 1.0870D-300.0692 3760.6045                 2 2 2 03                 1 3 3 01                         P 28F0.72626  2P19 21 5.842E-05 0.0926-0.000707-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  358.165823 1.1190D-290.0684 3261.8198                 2 1 1 03                 2 0 0 01                         P 34E0.74626  2P19 21 4.375E-05 0.0867-0.000730-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  358.721343 1.1760D-300.0695 3738.6523                 2 2 2 03                 1 3 3 01                         P 27E0.72626  2P19 21 5.914E-05 0.0935-0.000712-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  359.482473 1.2660D-300.0698 3717.4834                 2 2 2 03                 1 3 3 01                         P 26F0.71626  2P19 21 5.989E-05 0.0945-0.000715-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  359.689778 1.3690D-290.0686 3209.5078                 2 1 1 03                 2 0 0 01                         P 32E0.74626  2P19 21 4.444E-05 0.0887-0.000711-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  360.274123 1.3560D-300.0701 3697.0979                 2 2 2 03                 1 3 3 01                         P 25E0.71626  2P19 21 6.069E-05 0.0953-0.000717-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  361.040151 1.4460D-300.0705 3677.4956                 2 2 2 03                 1 3 3 01                         P 24F0.70626  2P19 21 6.154E-05 0.0962-0.000709-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  361.214173 1.6420D-290.0689 3160.3157                 2 1 1 03                 2 0 0 01                         P 30E0.73626  2P19 21 4.511E-05 0.0907-0.000716-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  361.828360 1.5330D-300.0709 3658.6768                 2 2 2 03                 1 3 3 01                         P 23E0.70626  2P19 21 6.244E-05 0.0970-0.000702-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  362.598349 1.6190D-300.0714 3640.6416                 2 2 2 03                 1 3 3 01                         P 22F0.69626  2P19 21 6.341E-05 0.0979-0.000692-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  362.739386 1.9290D-290.0692 3114.2441                 2 1 1 03                 2 0 0 01                         P 28E0.72626  2P19 21 4.576E-05 0.0926-0.000707-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  363.384020 1.7000D-300.0719 3623.3899                 2 2 2 03                 1 3 3 01                         P 21E0.69626  2P19 21 6.445E-05 0.0987-0.000676-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  364.157177 1.7760D-300.0725 3606.9221                 2 2 2 03                 1 3 3 01                         P 20F0.68626  2P19 21 6.558E-05 0.0995-0.000678-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  364.265768 2.2190D-290.0698 3071.2937                 2 1 1 03                 2 0 0 01                         P 26E0.71626  2P19 21 4.640E-05 0.0945-0.000715-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  364.941072 1.8460D-300.0732 3591.2378                 2 2 2 03                 1 3 3 01                         P 19E0.68626  2P19 21 6.681E-05 0.1002-0.000681-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  365.716733 1.9090D-300.0739 3576.3374                 2 2 2 03                 1 3 3 01                         P 18F0.68626  2P19 21 6.815E-05 0.1010-0.000677-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  365.793645 2.4980D-290.0705 3031.4646                 2 1 1 03                 2 0 0 01                         P 24E0.70626  2P19 21 4.701E-05 0.0962-0.000709-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  366.499481 1.9620D-300.0747 3562.2207                 2 2 2 03                 1 3 3 01                         P 17E0.67626  2P19 21 6.963E-05 0.1019-0.000681-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  367.277106 2.0060D-300.0757 3548.8882                 2 2 2 03                 1 3 3 01                         P 16F0.67626  2P19 21 7.128E-05 0.1027-0.000687-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  367.323313 2.7470D-290.0714 2994.7578                 2 1 1 03                 2 0 0 01                         P 22E0.69626  2P19 21 4.760E-05 0.0979-0.000692-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  368.059213 2.0400D-300.0767 3536.3396                 2 2 2 03                 1 3 3 01                         P 15E0.68626  2P19 21 7.313E-05 0.1037-0.000682-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  368.838369 2.0610D-300.0777 3524.5750                 2 2 2 03                 1 3 3 01                         P 14F0.68626  2P19 21 7.523E-05 0.1046-0.000669-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  368.855044 2.9470D-290.0725 2961.1736                 2 1 1 03                 2 0 0 01                         P 20E0.68626  2P19 21 4.816E-05 0.0995-0.000678-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  369.620233 2.0710D-300.0787 3513.5942                 2 2 2 03                 1 3 3 01                         P 13E0.68626  2P19 21 7.764E-05 0.1056-0.000642-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  370.389085 3.0790D-290.0739 2930.7119                 2 1 1 03                 2 0 0 01                         P 18E0.68626  2P19 21 4.868E-05 0.1010-0.000677-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  370.400588 2.0670D-300.0798 3503.3979                 2 2 2 03                 1 3 3 01                         P 12F0.69626  2P19 21 8.045E-05 0.1068-0.000616-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  371.182506 2.0500D-300.0809 3493.9856                 2 2 2 03                 1 3 3 01                         P 11E0.69626  2P19 21 8.378E-05 0.1079-0.000608-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  371.925654 3.1240D-290.0757 2903.3738                 2 1 1 03                 2 0 0 01                         P 16E0.67626  2P19 21 4.915E-05 0.1027-0.000687-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  371.963813 2.0200D-300.0820 3485.3577                 2 2 2 03                 1 3 3 01                         P 10F0.70626  2P19 21 8.781E-05 0.1092-0.000617-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  372.745999 1.9780D-300.0831 3477.5139                 2 2 2 03                 1 3 3 01                         P  9E0.71626  2P19 21 9.279E-05 0.1105-0.000631-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  373.464945 3.0650D-290.0777 2879.1592                 2 1 1 03                 2 0 0 01                         P 14E0.68626  2P19 21 4.955E-05 0.1046-0.000669-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  373.528082 1.9230D-300.0842 3470.4546                 2 2 2 03                 1 3 3 01                         P  8F0.72626  2P19 21 9.916E-05 0.1120-0.000639-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  374.310679 1.8580D-300.0853 3464.1792                 2 2 2 03                 1 3 3 01                         P  7E0.73626  2P19 21 1.076E-04 0.1135-0.000645-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  375.007124 2.8910D-290.0798 2858.0684                 2 1 1 03                 2 0 0 01                         P 12E0.69626  2P19 21 4.986E-05 0.1068-0.000616-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  375.093423 1.7860D-300.0863 3458.6885                 2 2 2 03                 1 3 3 01                         P  6F0.74626  2P19 21 1.194E-04 0.1150-0.000637-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  375.184727 1.3670D-300.0660 4009.0818                 2 1 1 03                 1 2 2 01                         P 56E0.70626  2P19 21 1.315E-04 0.0704-0.000738-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  375.876514 1.7090D-300.0871 3453.9819                 2 2 2 03                 1 3 3 01                         P  5E0.75626  2P19 21 1.370E-04 0.1164-0.000616-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  376.552334 2.5960D-290.0820 2840.1018                 2 1 1 03                 2 0 0 01                         P 10E0.70626  2P19 21 5.001E-05 0.1092-0.000617-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  376.659850 1.6370D-300.0878 3450.0598                 2 2 2 03                 1 3 3 01                         P  4F0.76626  2P19 21 1.661E-04 0.1176-0.000560-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  376.878602 2.0140D-300.0663 3922.3560                 2 1 1 03                 1 2 2 01                         P 54E0.71626  2P19 21 1.329E-04 0.0713-0.000729-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  377.443473 1.5870D-300.0884 3446.9224                 2 2 2 03                 1 3 3 01                         P  3E0.77626  2P19 21 2.227E-04 0.1187-0.000463-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  378.100691 2.1820D-290.0842 2825.2593                 2 1 1 03                 2 0 0 01                         P  8E0.72626  2P19 21 4.988E-05 0.1120-0.000639-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  378.277202 1.1100D-300.0658 4053.7839                 2 1 1 03                 1 2 2 01                         P 57F0.70626  2P19 21 1.322E-04 0.0700-0.000742-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  378.566843 2.9200D-300.0666 3838.7417                 2 1 1 03                 1 2 2 01                         P 52E0.71626  2P19 21 1.343E-04 0.0723-0.000718-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.652284 1.6590D-290.0863 2813.5415                 2 1 1 03                 2 0 0 01                         P  6E0.74626  2P19 21 4.917E-05 0.1150-0.000637-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.720396 1.6520D-300.0662 3965.4785                 2 1 1 03                 1 2 2 01                         P 55F0.70626  2P19 21 1.336E-04 0.0708-0.000733-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.799887 1.3570D-300.0870 3453.9819                 2 2 2 03                 1 3 3 01                         Q  5E0.75626  2P19 21 9.054E-05 0.1161-0.000482-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.801504 1.6790D-300.0860 3458.6885                 2 2 2 03                 1 3 3 01                         Q  6F0.74626  2P19 21 9.696E-05 0.1145-0.000490-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.803245 1.9640D-300.0849 3464.1792                 2 2 2 03                 1 3 3 01                         Q  7E0.73626  2P19 21 1.009E-04 0.1130-0.000502-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.805474 2.2150D-300.0838 3470.4546                 2 2 2 03                 1 3 3 01                         Q  8F0.72626  2P19 21 1.036E-04 0.1114-0.000514-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.807570 2.4330D-300.0826 3477.5139                 2 2 2 03                 1 3 3 01                         Q  9E0.70626  2P19 21 1.054E-04 0.1100-0.000531-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.810513 2.6200D-300.0815 3485.3577                 2 2 2 03                 1 3 3 01                         Q 10F0.70626  2P19 21 1.066E-04 0.1087-0.000546-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.812809 2.7750D-300.0804 3493.9856                 2 2 2 03                 1 3 3 01                         Q 11E0.69626  2P19 21 1.075E-04 0.1075-0.000562-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.816627 2.9000D-300.0793 3503.3979                 2 2 2 03                 1 3 3 01                         Q 12F0.68626  2P19 21 1.082E-04 0.1063-0.000575-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.818897 2.9940D-300.0783 3513.5942                 2 2 2 03                 1 3 3 01                         Q 13E0.68626  2P19 21 1.087E-04 0.1052-0.000581-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.823824 3.0580D-300.0772 3524.5750                 2 2 2 03                 1 3 3 01                         Q 14F0.68626  2P19 21 1.091E-04 0.1042-0.000601-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.825756 3.0950D-300.0762 3536.3396                 2 2 2 03                 1 3 3 01                         Q 15E0.68626  2P19 21 1.093E-04 0.1032-0.000611-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.832111 3.1040D-300.0752 3548.8882                 2 2 2 03                 1 3 3 01                         Q 16F0.67626  2P19 21 1.095E-04 0.1024-0.000624-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.833299 3.0890D-300.0744 3562.2207                 2 2 2 03                 1 3 3 01                         Q 17E0.68626  2P19 21 1.096E-04 0.1015-0.000636-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.841422 2.9910D-300.0729 3591.2378                 2 2 2 03                 1 3 3 01                         Q 19E0.68626  2P19 21 1.097E-04 0.0999-0.000651-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.841496 3.0500D-300.0736 3576.3374                 2 2 2 03                 1 3 3 01                         Q 18F0.68626  2P19 21 1.097E-04 0.1007-0.000642-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.850015 2.8180D-300.0717 3623.3899                 2 2 2 03                 1 3 3 01                         Q 21E0.69626  2P19 21 1.096E-04 0.0983-0.000672-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.851987 2.9120D-300.0723 3606.9221                 2 2 2 03                 1 3 3 01                         Q 20F0.69626  2P19 21 1.096E-04 0.0991-0.000666-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.858952 2.5890D-300.0707 3658.6768                 2 2 2 03                 1 3 3 01                         Q 23E0.70626  2P19 21 1.093E-04 0.0967-0.000681-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.863591 2.7090D-300.0712 3640.6416                 2 2 2 03                 1 3 3 01                         Q 22F0.70626  2P19 21 1.095E-04 0.0975-0.000671-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.868099 2.3240D-300.0700 3697.0979                 2 2 2 03                 1 3 3 01                         Q 25E0.71626  2P19 21 1.090E-04 0.0949-0.000690-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.876311 2.4600D-300.0703 3677.4956                 2 2 2 03                 1 3 3 01                         Q 24F0.71626  2P19 21 1.092E-04 0.0958-0.000678-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.877308 2.0400D-300.0694 3738.6523                 2 2 2 03                 1 3 3 01                         Q 27E0.72626  2P19 21 1.086E-04 0.0931-0.000709-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.886424 1.7540D-300.0690 3783.3396                 2 2 2 03                 1 3 3 01                         Q 29E0.73626  2P19 21 1.082E-04 0.0912-0.000706-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.890152 2.1840D-300.0696 3717.4834                 2 2 2 03                 1 3 3 01                         Q 26F0.71626  2P19 21 1.089E-04 0.0940-0.000695-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.895278 1.4770D-300.0687 3831.1587                 2 2 2 03                 1 3 3 01                         Q 31E0.73626  2P19 21 1.076E-04 0.0892-0.000710-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.903694 1.2190D-300.0684 3882.1089                 2 2 2 03                 1 3 3 01                         Q 33E0.74626  2P19 21 1.070E-04 0.0873-0.000715-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.905113 1.8970D-300.0691 3760.6045                 2 2 2 03                 1 3 3 01                         Q 28F0.72626  2P19 21 1.084E-04 0.0922-0.000704-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.921189 1.6140D-300.0688 3806.8577                 2 2 2 03                 1 3 3 01                         Q 30F0.73626  2P19 21 1.079E-04 0.0902-0.000716-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.938373 1.3450D-300.0686 3856.2427                 2 2 2 03                 1 3 3 01                         Q 32F0.74626  2P19 21 1.074E-04 0.0882-0.000713-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  379.956651 1.1000D-300.0683 3908.7583                 2 2 2 03                 1 3 3 01                         Q 34F0.74626  2P19 21 1.067E-04 0.0862-0.000715-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  380.249524 4.1660D-300.0669 3758.2402                 2 1 1 03                 1 2 2 01                         P 50E0.72626  2P19 21 1.358E-04 0.0734-0.000718-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  381.163936 2.4190D-300.0665 3880.2866                 2 1 1 03                 1 2 2 01                         P 53F0.71626  2P19 21 1.350E-04 0.0718-0.000722-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  381.207177 1.0430D-290.0878 2804.9482                 2 1 1 03                 2 0 0 01                         P  4E0.76626  2P19 21 4.691E-05 0.1176-0.000560-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  381.926722 5.8470D-300.0671 3680.8535                 2 1 1 03                 1 2 2 01                         P 48E0.72626  2P19 21 1.373E-04 0.0747-0.000726-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  382.608278 3.4830D-300.0667 3798.2095                 2 1 1 03                 1 2 2 01                         P 51F0.72626  2P19 21 1.365E-04 0.0728-0.000720-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  382.765410 3.5880D-300.0892 2799.4797                 2 1 1 03                 2 0 0 01                         P  2E0.77626  2P19 21 3.691E-05 0.1200-0.000405-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  383.598517 8.0710D-300.0673 3606.5828                 2 1 1 03                 1 2 2 01                         P 46E0.73626  2P19 21 1.389E-04 0.0760-0.000725-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.053863 4.9340D-300.0670 3719.2485                 2 1 1 03                 1 2 2 01                         P 49F0.72626  2P19 21 1.380E-04 0.0740-0.000724-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.337465 1.8030D-290.0902 2799.4797                 2 1 1 03                 2 0 0 01                         Q  2E0.77626  2P19 21 1.121E-04 0.1213-0.000461-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.361873 3.1640D-290.0879 2804.9482                 2 1 1 03                 2 0 0 01                         Q  4E0.76626  2P19 21 1.122E-04 0.1177-0.000477-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.400166 4.3910D-290.0860 2813.5415                 2 1 1 03                 2 0 0 01                         Q  6E0.74626  2P19 21 1.124E-04 0.1145-0.000490-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.452262 5.4370D-290.0838 2825.2593                 2 1 1 03                 2 0 0 01                         Q  8E0.72626  2P19 21 1.127E-04 0.1114-0.000514-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.518048 6.2680D-290.0815 2840.1018                 2 1 1 03                 2 0 0 01                         Q 10E0.70626  2P19 21 1.131E-04 0.1087-0.000546-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.597381 6.8630D-290.0793 2858.0684                 2 1 1 03                 2 0 0 01                         Q 12E0.68626  2P19 21 1.136E-04 0.1063-0.000575-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.690087 7.2170D-290.0772 2879.1592                 2 1 1 03                 2 0 0 01                         Q 14E0.68626  2P19 21 1.141E-04 0.1042-0.000601-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.795964 7.3370D-290.0752 2903.3738                 2 1 1 03                 2 0 0 01                         Q 16E0.67626  2P19 21 1.147E-04 0.1024-0.000624-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  384.914778 7.2430D-290.0736 2930.7119                 2 1 1 03                 2 0 0 01                         Q 18E0.68626  2P19 21 1.154E-04 0.1007-0.000642-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  385.046262 6.9640D-290.0723 2961.1736                 2 1 1 03                 2 0 0 01                         Q 20E0.69626  2P19 21 1.162E-04 0.0991-0.000666-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
  385.109043 7.3070D-300.0927 2797.1362                 2 1 1 03                 2 0 0 01                         R  0E0.77626  2P19 21 7.508E-05 0.1252-0.000479-.9999 -0.999999-9.9999D-01-.9999-.99 0.000000-.9999-9.9999-.99-.990.0000000.000000-.99-.99
